Rank	Book ID	Title	Author	Result Score
302	5417	Struggling Upward, or Luke Larkin's Luck	Alger, Horatio, Jr.	0.3333333333333333
303	23887	Strange Stories from History for Young People	Eggleston, George Cary	0.3333333333333333
304	18618	Stories of Later American History	Gordy, Wilbur F. (Wilbur Fisk)	0.3333333333333333
305	10070	Stories of Great Americans for Little Americans	Eggleston, Edward	0.3333333333333333
306	23751	Southern Stories
Retold from St. Nicholas	Various	0.3333333333333333
307	23545	Songs of Childhood	De la Mare, Walter	0.3333333333333333
308	6357	Snowflakes and Sunbeams; Or, The Young Fur-traders: A Tale of the Far North	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
309	9212	Snow Flakes (From "Twice Told Tales")	Hawthorne, Nathaniel	0.3333333333333333
310	4356	Sky Island
Being the further exciting adventures of Trot and Cap'n Bill after their visit to the sea fairies	Baum, L. Frank (Lyman Frank)	0.3333333333333333
311	19360	Six to Sixteen: A Story for Girls	Ewing, Juliana Horatia	0.3333333333333333
312	21704	Six Months at the Cape	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
313	781	Sinking of the Titanic and Great Sea Disasters	nan	0.3333333333333333
314	21703	Silver Lake	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
315	9205	Sights from a Steeple (From "Twice Told Tales")	Hawthorne, Nathaniel	0.3333333333333333
316	21702	Shifting Winds: A Tough Yarn	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
317	23385	Saved by the Lifeboat	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
318	24772	Sara Crewe; Or, What Happened at Miss Minchin's	Burnett, Frances Hodgson	0.3333333333333333
319	20092	Saint Bartholomew's Eve: A Tale of the Huguenot Wars	Henty, G. A. (George Alfred)	0.3333333333333333
320	8659	Sabbath in Puritan New England	Earle, Alice Morse	0.3333333333333333
321	7229	Rujub, the Juggler	Henty, G. A. (George Alfred)	0.3333333333333333
322	2804	Rose in Bloom
A Sequel to "Eight Cousins"	Alcott, Louisa May	0.3333333333333333
323	21698	Rivers of Ice	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
324	12741	Risen from the Ranks; Or, Harry Walton's Success	Alger, Horatio, Jr.	0.3333333333333333
325	25581	Rinkitink in Oz	Baum, L. Frank (Lyman Frank)	0.3333333333333333
326	3796	Rilla of Ingleside	Montgomery, L. M. (Lucy Maud)	0.3333333333333333
327	9075	Rico and Wiseli	Spyri, Johanna	0.3333333333333333
328	23022	Red Rose and Tiger Lily; Or, In a Wider World	Meade, L. T.	0.3333333333333333
329	21696	Red Rooney: The Last of the Crew	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
330	5343	Rainbow Valley	Montgomery, L. M. (Lucy Maud)	0.3333333333333333
331	5348	Ragged Dick, Or, Street Life in New York with the Boot-Blacks	Alger, Horatio, Jr.	0.3333333333333333
332	20689	Ragged Dick	Alger, Horatio, Jr.	0.3333333333333333
333	8574	Racketty-Packetty House, as Told by Queen Crosspatch	Burnett, Frances Hodgson	0.3333333333333333
334	5420	Rab and His Friends	Brown, John	0.3333333333333333
335	557	Puck of Pook's Hill	Kipling, Rudyard	0.3333333333333333
336	15976	Puck of Pook's Hill	Kipling, Rudyard	0.3333333333333333
337	21994	Prince Ricardo of Pantouflia: Being the Adventures of Prince Prigio's Son	Lang, Andrew	0.3333333333333333
338	21935	Prince Prigio
From "His Own Fairy Book"	Lang, Andrew	0.3333333333333333
339	21693	Post Haste	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
340	484	Poor and Proud; Or, The Fortunes of Katy Redburn: A Story for Young Folks	Optic, Oliver	0.3333333333333333
341	18666	Polly: A New-Fashioned Girl	Meade, L. T.	0.3333333333333333
342	16436	Poems Every Child Should Know
The What-Every-Child-Should-Know-Library	nan	0.3333333333333333
343	21436	Poems Every Child Should Know	nan	0.3333333333333333
344	21756	Philosopher Jack	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
345	671	Phil, the Fiddler	Alger, Horatio, Jr.	0.3333333333333333
346	16891	Peter Parley's Tales About America and Australia	Goodrich, Samuel G. (Samuel Griswold)	0.3333333333333333
347	1868	Penelope's Postscripts	Wiggin, Kate Douglas Smith	0.3333333333333333
348	1391	Penelope's Irish Experiences	Wiggin, Kate Douglas Smith	0.3333333333333333
349	1217	Penelope's Experiences in Scotland
Being Extracts from the Commonplace Book of Penelope Hamilton	Wiggin, Kate Douglas Smith	0.3333333333333333
350	1278	Penelope's English Experiences
Being Extracts from the Commonplace Book of Penelope Hamilton	Wiggin, Kate Douglas Smith	0.3333333333333333
351	659	Paul the Peddler; Or, The Fortunes of a Young Street Merchant	Alger, Horatio, Jr.	0.3333333333333333
352	293	Paul Prescott's Charge	Alger, Horatio, Jr.	0.3333333333333333
353	18216	Pathfinders of the West
Being the Thrilling Story of the Adventures of the Men Who
Discovered the Great Northwest: Radisson, La Vérendrye,
Lewis and Clark	Laut, Agnes C.	0.3333333333333333
354	486	Ozma of Oz
A Record of Her Adventures with Dorothy Gale of Kansas, the Yellow Hen, the Scarecrow, the Tin Woodman, Tiktok, the Cowardly Lion, and the Hungry Tiger; Besides Other Good People too Numerous to Mention Faithfully Recorded Herein	Baum, L. Frank (Lyman Frank)	0.3333333333333333
355	23075	Ozma of Oz	Baum, L. Frank (Lyman Frank)	0.3333333333333333
356	24086	Over the Rocky Mountains: Wandering Will in the Land of the Redskin	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
357	15920	Outward Bound Or, Young America Afloat: A Story of Travel and Adventure	Optic, Oliver	0.3333333333333333
358	16171	Our Boys
Entertaining Stories by Popular Authors	Various	0.3333333333333333
359	18356	Orange and Green: A Tale of the Boyne and Limerick	Henty, G. A. (George Alfred)	0.3333333333333333
360	21946	Op Eigen Wieken	Alcott, Louisa May	0.3333333333333333
361	16869	Oonomoo the Huron	Ellis, Edward Sylvester	0.3333333333333333
362	17268	Ontario Teachers' Manuals: History	Ontario. Department of Education	0.3333333333333333
363	11111	Only an Irish Boy; Or, Andy Burke's Fortunes	Alger, Horatio, Jr.	0.3333333333333333
364	17337	Onder Moeders Vleugels	Alcott, Louisa May	0.3333333333333333
365	6472	On the Pampas; Or, The Young Settlers	Henty, G. A. (George Alfred)	0.3333333333333333
366	21242	On the Irrawaddy: A Story of the First Burmese War	Henty, G. A. (George Alfred)	0.3333333333333333
367	4980	Old Granny Fox	Burgess, Thornton W. (Thornton Waldo)	0.3333333333333333
368	14762	Now or Never; Or, The Adventures of Bobby Bright: A Story for Young Folks	Optic, Oliver	0.3333333333333333
369	19473	Now or Never; Or, The Adventures of Bobby Bright	Optic, Oliver	0.3333333333333333
370	5868	Nothing to Eat	Alger, Horatio, Jr.	0.3333333333333333
371	5868	Nothing to Eat	Haliburton, Thomas Chandler	0.3333333333333333
372	23494	Notable Voyagers, From Columbus to Nordenskiold	Kingston, William Henry Giles	0.3333333333333333
373	23494	Notable Voyagers, From Columbus to Nordenskiold	Frith, Henry	0.3333333333333333
374	20091	No Surrender! A Tale of the Rising in La Vendee	Henty, G. A. (George Alfred)	0.3333333333333333
375	24430	Nights With Uncle Remus	Harris, Joel Chandler	0.3333333333333333
376	25496	New Treasure Seekers; Or, The Bastable Children in Search of a Fortune	Nesbit, E. (Edith)	0.3333333333333333
377	1375	New Chronicles of Rebecca	Wiggin, Kate Douglas Smith	0.3333333333333333
378	20740	Myths and Legends of All Nations
Famous Stories from the Greek, German, English, Spanish,
Scandinavian, Danish, French, Russian, Bohemian, Italian
and other sources	nan	0.3333333333333333
379	5304	My Robin	Burnett, Frances Hodgson	0.3333333333333333
380	10857	My Native Land
The United States: its Wonders, its Beauties, and its People; with Descriptive Notes, Character Sketches, Folk Lore, Traditions, Legends and History, for the Amusement of the Old and the Instruction of the Young	Cox, James	0.3333333333333333
381	21752	My Doggie and I	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
382	5791	Mrs. Peter Rabbit	Burgess, Thornton W. (Thornton Waldo)	0.3333333333333333
383	17772	Mrs. Overtheway's Remembrances	Ewing, Juliana Horatia	0.3333333333333333
384	10540	Mother Carey's Chickens	Wiggin, Kate Douglas Smith	0.3333333333333333
385	9383	Moni the Goat-Boy	Spyri, Johanna	0.3333333333333333
386	19648	Mingo, and Other Sketches in Black and White	Harris, Joel Chandler	0.3333333333333333
387	16540	Melchior's Dream and Other Tales	Ewing, Juliana Horatia	0.3333333333333333
388	19644	Mary's Meadow, and Other Tales of Fields and Flowers	Ewing, Juliana Horatia	0.3333333333333333
389	13290	Martin Rattler	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
390	21750	Martin Rattler	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
391	3149	Marm Lisa	Wiggin, Kate Douglas Smith	0.3333333333333333
392	5352	Marjorie's Three Gifts	Alcott, Louisa May	0.3333333333333333
393	21749	Man on the Ocean: A Book about Boats and Ships	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
394	13803	Making His Way; Or, Frank Courtney's Struggle Upward	Alger, Horatio, Jr.	0.3333333333333333
395	10142	Maezli: A Story of the Swiss Valleys	Spyri, Johanna	0.3333333333333333
396	23274	Lost in the Forest: Wandering Will's Adventures in South America	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
397	514	Little Women	Alcott, Louisa May	0.3333333333333333
398	19467	Little Wizard Stories of Oz	Baum, L. Frank (Lyman Frank)	0.3333333333333333
399	25519	Little Wizard Stories of Oz	Baum, L. Frank (Lyman Frank)	0.3333333333333333
400	10466	Little Saint Elizabeth and Other Stories	Burnett, Frances Hodgson	0.3333333333333333
401	23869	Little Mr. Thimblefinger and His Queer Country	Harris, Joel Chandler	0.3333333333333333
402	19988	Little Maid Marian	Blanchard, Amy Ella	0.3333333333333333
403	479	Little Lord Fauntleroy	Burnett, Frances Hodgson	0.3333333333333333
404	9202	Little Annie's Ramble (From "Twice Told Tales")	Hawthorne, Nathaniel	0.3333333333333333
405	4670	Lightfoot the Deer	Burgess, Thornton W. (Thornton Waldo)	0.3333333333333333
406	7231	Light O' the Morning: The Story of an Irish Girl	Meade, L. T.	0.3333333333333333
407	21695	Life in the Red Brigade: London Fire Brigade	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
408	16623	Letters of a Woman Homesteader	Stewart, Elinore Pruitt	0.3333333333333333
409	17750	Laugh and play : $b A collection of original stories	nan	0.3333333333333333
410	17482	La Aventuroj de Alicio en Mirlando	Carroll, Lewis	0.3333333333333333
411	15764	Kullankaivajat ja indiaanit: Kertomus Pohjois-Meksikosta	Reid, Mayne	0.3333333333333333
412	21652	Klondike Nuggets, and How Two Boys Secured Them	Ellis, Edward Sylvester	0.3333333333333333
413	10360	Kitty's Class Day and Other Stories	Alcott, Louisa May	0.3333333333333333
414	14457	Kings, Queens and Pawns: An American Woman at the Front	Rinehart, Mary Roberts	0.3333333333333333
415	5341	Kilmeny of the Orchard	Montgomery, L. M. (Lucy Maud)	0.3333333333333333
416	20307	Kate's ordeal	Leslie, Emma	0.3333333333333333
417	2781	Just So Stories	Kipling, Rudyard	0.3333333333333333
418	24532	Journeys Through Bookland, Vol. 8	Sylvester, Charles Herbert	0.3333333333333333
419	23405	Journeys Through Bookland, Vol. 7	Sylvester, Charles Herbert	0.3333333333333333
420	21864	Journeys Through Bookland, Vol. 6	Sylvester, Charles Herbert	0.3333333333333333
421	11250	Journeys Through Bookland, Vol. 5	Sylvester, Charles Herbert	0.3333333333333333
422	7013	Journeys Through Bookland, Vol. 4	Sylvester, Charles Herbert	0.3333333333333333
423	5902	Journeys Through Bookland, Vol. 3	Sylvester, Charles Herbert	0.3333333333333333
424	5796	Journeys Through Bookland, Vol. 2	Sylvester, Charles Herbert	0.3333333333333333
425	24857	Journeys Through Bookland, Vol. 10: The Guide	Sylvester, Charles Herbert	0.3333333333333333
426	12823	Joe's Luck; Or, Always Wide Awake	Alger, Horatio, Jr.	0.3333333333333333
427	528	Joe the Hotel Boy; Or, Winning out by Pluck	Alger, Horatio, Jr.	0.3333333333333333
428	21743	Jeff Benson, or the Young Coastguardsman	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
429	21742	Jarwin and Cuffy	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
430	5601	Jan of the Windmill: A Story of the Plains	Ewing, Juliana Horatia	0.3333333333333333
431	7865	Jackanapes, Daddy Darwin's Dovecot and Other Stories	Ewing, Juliana Horatia	0.3333333333333333
432	20351	Jackanapes	Ewing, Juliana Horatia	0.3333333333333333
433	10729	Jack's Ward; Or, The Boy Guardian	Alger, Horatio, Jr.	0.3333333333333333
434	2786	Jack and Jill	Alcott, Louisa May	0.3333333333333333
435	22451	Jack and Jill	Alcott, Louisa May	0.3333333333333333
436	11058	Jack Archer: A Tale of the Crimea	Henty, G. A. (George Alfred)	0.3333333333333333
437	23717	Jabberwocky	Carroll, Lewis	0.3333333333333333
438	9897	Introductory American History	Bourne, Henry Eldridge	0.3333333333333333
439	9897	Introductory American History	Benton, Elbert Jay	0.3333333333333333
440	21705	In the Track of the Troops	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
441	3785	In the Reign of Terror: The Adventures of a Westminster Boy	Henty, G. A. (George Alfred)	0.3333333333333333
442	5828	In the Pecos Country	Ellis, Edward Sylvester	0.3333333333333333
443	8670	In the Heart of the Rockies: A Story of Adventure in Colorado	Henty, G. A. (George Alfred)	0.3333333333333333
444	7071	In Times of Peril: A Tale of India	Henty, G. A. (George Alfred)	0.3333333333333333
445	4378	In Homespun	Nesbit, E. (Edith)	0.3333333333333333
446	21739	Hunting the Lions	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
447	21738	Hunted and Harried	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
448	21758	Hudson Bay	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
449	23496	How Britannia Came to Rule the Waves
Updated to 1900	Kingston, William Henry Giles	0.3333333333333333
450	3492	Homespun Tales	Wiggin, Kate Douglas Smith	0.3333333333333333
451	10583	Holland: The History of the Netherlands	Grattan, Thomas Colley	0.3333333333333333
452	7001	History of the Philippine Islands	Morga, Antonio de	0.3333333333333333
453	14971	History of Holland	Edmundson, George	0.3333333333333333
454	17287	History of France	Yonge, Charlotte M. (Charlotte Mary)	0.3333333333333333
455	4265	Heroes Every Child Should Know	Mabie, Hamilton Wright	0.3333333333333333
456	6162	Herbert Carter's Legacy; Or, the Inventor's Son	Alger, Horatio, Jr.	0.3333333333333333
457	5833	Helping Himself; Or, Grant Thornton's Ambition	Alger, Horatio, Jr.	0.3333333333333333
458	21788	Held Fast For England: A Tale of the Siege of Gibraltar (1779-83)	Henty, G. A. (George Alfred)	0.3333333333333333
459	20781	Heidi
(Gift Edition)	Spyri, Johanna	0.3333333333333333
460	1448	Heidi	Spyri, Johanna	0.3333333333333333
461	20271	Heidi	Spyri, Johanna	0.3333333333333333
462	5674	Hector's Inheritance, Or, the Boys of Smith Institute	Alger, Horatio, Jr.	0.3333333333333333
463	19136	Hayslope Grange: A Tale of the Civil War	Leslie, Emma	0.3333333333333333
464	6572	Haste and Waste; Or, the Young Pilot of Lake Champlain. A Story for Young People	Optic, Oliver	0.3333333333333333
465	13355	Happy Jack	Burgess, Thornton W. (Thornton Waldo)	0.3333333333333333
466	23389	Handbook to the new Gold-fields	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
467	15727	Gritli's Children	Spyri, Johanna	0.3333333333333333
468	16038	Great Epochs in American History, Volume 2
The Planting of the First Colonies: 1562—1733	nan	0.3333333333333333
469	16037	Great Epochs in American History, Volume 1.
Voyages of Discovery and Early Explorations: 1000 A.D.-1682	nan	0.3333333333333333
470	19909	Good Cheer Stories Every Child Should Know	nan	0.3333333333333333
471	22308	Golden Moments
Bright Stories for Young Folks	Anonymous	0.3333333333333333
472	961	Glinda of Oz
In Which Are Related the Exciting Experiences of Princess Ozma of Oz, and Dorothy, in Their Hazardous Journey to the Home of the Flatheads, and to the Magic Isle of the Skeezers, and How They Were Rescued from Dire Peril by the Sorcery of Glinda the Good	Baum, L. Frank (Lyman Frank)	0.3333333333333333
473	19140	Girlhood and Womanhood
The Story of some Fortunes and Misfortunes	Tytler, Sarah	0.3333333333333333
474	6804	General History for Colleges and High Schools	Myers, P. V. N. (Philip Van Ness)	0.3333333333333333
475	23384	Gascoyne, the Sandal-Wood Trader	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
476	15689	Gascoyne, The Sandal-Wood Trader: A Tale of the Pacific	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
477	5340	Further Chronicles of Avonlea	Montgomery, L. M. (Lucy Maud)	0.3333333333333333
478	22565	From Farm to Fortune; or, Nat Nason's Strange Experience	Alger, Horatio, Jr.	0.3333333333333333
479	14964	From Canal Boy to President; Or, the Boyhood and Manhood of James A. Garfield	Alger, Horatio, Jr.	0.3333333333333333
480	10366	Freedom's Battle
Being a Comprehensive Collection of Writings and Speeches on the Present Situation	Gandhi, Mahatma	0.3333333333333333
481	23505	Freaks on the Fells: Three Months' Rustication	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
482	1573	Frank's Campaign; Or, The Farm and the Camp	Alger, Horatio, Jr.	0.3333333333333333
483	19592	Frank and Fearless; or, The Fortunes of Jasper Kent	Alger, Horatio, Jr.	0.3333333333333333
484	24252	Four Young Explorers; Or, Sight-Seeing in the Tropics	Optic, Oliver	0.3333333333333333
485	21732	Fort Desolation: Red Indians and Fur Traders of Rupert's Land	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
486	8411	Forest and Frontiers; Or, Adventures Among the Indians	nan	0.3333333333333333
487	21614	For the Temple: A Tale of the Fall of Jerusalem	Henty, G. A. (George Alfred)	0.3333333333333333
488	21979	For Name and Fame; Or, Through Afghan Passes	Henty, G. A. (George Alfred)	0.3333333333333333
489	20791	For Love of Country: A Story of Land and Sea in the Days of the Revolution	Brady, Cyrus Townsend	0.3333333333333333
490	9218	Footprints on the Sea-Shore (From "Twice Told Tales")	Hawthorne, Nathaniel	0.3333333333333333
491	163	Flower Fables	Alcott, Louisa May	0.3333333333333333
492	778	Five Children and It	Nesbit, E. (Edith)	0.3333333333333333
493	20036	Five Children and It	Nesbit, E. (Edith)	0.3333333333333333
494	1236	First Across the Continent
The Story of the Exploring Expedition of Lewis and Clark in 1804-5-6	Brooks, Noah	0.3333333333333333
495	21202	Fighting the Whales	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
496	21731	Fighting the Whales	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
497	23380	Fighting the Flames	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
498	6168	Fifty Famous People: A Book of Short Stories	Baldwin, James	0.3333333333333333
499	21446	Favourite Fables in Prose and Verse	nan	0.3333333333333333
500	23492	Fast in the Ice: Adventures in the Polar Regions	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
501	9208	Fancy's Show-Box (From "Twice Told Tales")	Hawthorne, Nathaniel	0.3333333333333333
502	16247	Famous Stories Every Child Should Know	nan	0.3333333333333333
503	21632	Fame and Fortune; or, The Progress of Richard Hunter	Alger, Horatio, Jr.	0.3333333333333333
504	6461	Facing the World	Alger, Horatio, Jr.	0.3333333333333333
505	21730	Erling the Bold	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
506	10436	Erick and Sally	Spyri, Johanna	0.3333333333333333
507	16294	England in America, 1580-1652	Tyler, Lyon Gardiner	0.3333333333333333
508	2726	Eight Cousins	Alcott, Louisa May	0.3333333333333333
509	9219	Edward Fane's Rosebud (From "Twice Told Tales")	Hawthorne, Nathaniel	0.3333333333333333
510	7960	Early European History	Webster, Hutton	0.3333333333333333
511	21729	Dusty Diamonds Cut and Polished: A Tale of City Arab Life and Adventure	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
512	530	Driven from Home; Or, Carl Crawford's Experience	Alger, Horatio, Jr.	0.3333333333333333
513	22035	Dramatized Rhythm Plays
Mother Goose and Traditional	Richards, John N.	0.3333333333333333
514	24283	Down the River; Or, Buck Bradford and His Tyrants	Optic, Oliver	0.3333333333333333
515	24124	Down the Rhine; Or, Young America in Germany	Optic, Oliver	0.3333333333333333
516	420	Dorothy and the Wizard in Oz	Baum, L. Frank (Lyman Frank)	0.3333333333333333
517	19450	Dorothy and the Wizard in Oz	Baum, L. Frank (Lyman Frank)	0.3333333333333333
518	22566	Dorothy and the Wizard in Oz	Baum, L. Frank (Lyman Frank)	0.3333333333333333
519	53479	Don Gordon's Shooting-Box	Castlemon, Harry	0.3333333333333333
520	5747	Do and Dare — a Brave Boy's Fight for Fortune	Alger, Horatio, Jr.	0.3333333333333333
521	53367	Dik Trom en zijn Dorpsgenooten	Kieviet, Cornelis Johannes	0.3333333333333333
522	21727	Digging for Gold: Adventures in California	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
523	21942	Dickory Dock	Meade, L. T.	0.3333333333333333
524	17253	Dewey and Other Naval Commanders	Ellis, Edward Sylvester	0.3333333333333333
525	21726	Deep Down, a Tale of the Cornish Mines	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
526	18038	Days of the Discoverers	Lamprey, Louise	0.3333333333333333
527	24730	Daniel Boone
Taming the Wilds	Wilkie, Katharine Elliott	0.3333333333333333
528	53345	Dan, the Newsboy	Alger, Horatio, Jr.	0.3333333333333333
529	10340	Dab Kinzer: A Story of a Growing Boy	Stoddard, William O.	0.3333333333333333
530	21846	Crowded Out o' Crofield; or, The Boy who made his Way	Stoddard, William O.	0.3333333333333333
531	9739	Cricket on the Hearth	Dickens, Charles	0.3333333333333333
532	11337	Cowmen and Rustlers: A Story of the Wyoming Cattle Ranges	Ellis, Edward Sylvester	0.3333333333333333
533	6380	Cornelli	Spyri, Johanna	0.3333333333333333
534	8155	Colonel Thorndyke's Secret	Henty, G. A. (George Alfred)	0.3333333333333333
535	15798	Clover	Coolidge, Susan	0.3333333333333333
536	1354	Chronicles of Avonlea	Montgomery, L. M. (Lucy Maud)	0.3333333333333333
537	9215	Chippings with a Chisel (From "Twice Told Tales")	Hawthorne, Nathaniel	0.3333333333333333
538	10335	Children's Rights: A Book of Nursery Logic	Wiggin, Kate Douglas Smith	0.3333333333333333
539	24271	Children's Rhymes, Children's Games, Children's Songs, Children's Stories
A Book for Bairns and Big Folk	Ford, Robert	0.3333333333333333
540	25545	Children's Literature
A Textbook of Sources for Teachers and Teacher-Training Classes	Curry, Charles Madison	0.3333333333333333
541	25545	Children's Literature
A Textbook of Sources for Teachers and Teacher-Training Classes	Clippinger, Erle Elsworth	0.3333333333333333
542	22604	Children and Their Books	Penniman, James Hosmer	0.3333333333333333
543	19993	Childhood's Favorites and Fairy Stories
The Young Folks Treasury, Volume 1	nan	0.3333333333333333
544	21764	Child Stories from the Masters
Being a Few Modest Interpretations of Some Phases of the
Master Works Done in a Child Way	Menefee, Maud	0.3333333333333333
545	19389	Child Songs of Cheer	Stein, Evaleen	0.3333333333333333
546	23108	Chester Rand; or, The New Path to Fortune	Alger, Horatio, Jr.	0.3333333333333333
547	24324	Chatterbox, 1906	Various	0.3333333333333333
548	20117	Chatterbox, 1905.	Various	0.3333333333333333
549	23262	Chasing the Sun	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
550	21720	Charlie to the Rescue	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
551	399	Cast Upon the Breakers	Alger, Horatio, Jr.	0.3333333333333333
552	12296	Camps and Trails in China
A Narrative of Exploration, Adventure, and Sport in Little-Known China	Andrews, Roy Chapman	0.3333333333333333
553	12296	Camps and Trails in China
A Narrative of Exploration, Adventure, and Sport in Little-Known China	Andrews, Yvette Borup	0.3333333333333333
554	13912	Bébée; Or, Two Little Wooden Shoes	Ouida	0.3333333333333333
555	8576	By Sheer Pluck: A Tale of the Ashanti War	Henty, G. A. (George Alfred)	0.3333333333333333
556	9628	Buried Cities: Pompeii, Olympia, Mycenae (Complete)	Hall, Jennie	0.3333333333333333
557	16121	Brothers of Pity and Other Tales of Beasts and Men	Ewing, Juliana Horatia	0.3333333333333333
558	22433	Breaking Away; or, The Fortunes of a Student	Optic, Oliver	0.3333333333333333
559	9990	Brave and Bold; Or, The Fortunes of Robert Rushton	Alger, Horatio, Jr.	0.3333333333333333
560	11978	Brave Tom; Or, The Battle That Won	Ellis, Edward Sylvester	0.3333333333333333
561	25359	Boys and Girls Bookshelf; a Practical Plan of Character Building, Volume I (of 17)
Fun and Thought for Little Folk	Various	0.3333333333333333
562	15168	Bowser the Hound	Burgess, Thornton W. (Thornton Waldo)	0.3333333333333333
563	5977	Bound to Rise; Or, Up the Ladder	Alger, Horatio, Jr.	0.3333333333333333
564	7006	Bonnie Prince Charlie : a Tale of Fontenoy and Culloden	Henty, G. A. (George Alfred)	0.3333333333333333
565	21719	Blue Lights: Hot Work in the Soudan	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
566	15348	Blown to Bits; or, The Lonely Man of Rakata	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
567	23371	Blown to Bits: The Lonely Man of Rakata, the Malay Archipelago	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
568	4979	Blacky the Crow	Burgess, Thornton W. (Thornton Waldo)	0.3333333333333333
569	21748	Black Ivory	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
570	11860	Black Beauty, Young Folks' Edition	Sewell, Anna	0.3333333333333333
571	19637	Black Beauty - The Autobiography of a Horse	Sewell, Anna	0.3333333333333333
572	5834	Bimbi: Stories for Children	Ouida	0.3333333333333333
573	10380	Bible Stories and Religious Classics	Wells, Philip P. (Philip Patterson)	0.3333333333333333
574	9216	Beneath an Umbrella (From "Twice Told Tales")	Hawthorne, Nathaniel	0.3333333333333333
575	1430	Beautiful Stories from Shakespeare	Shakespeare, William	0.3333333333333333
576	1430	Beautiful Stories from Shakespeare	Nesbit, E. (Edith)	0.3333333333333333
577	10649	Beacon Lights of History, Volume 14: The New Era
A Supplementary Volume, by Recent Writers, as Set Forth in the Preface and Table of Contents	Lord, John	0.3333333333333333
578	10648	Beacon Lights of History, Volume 13: Great Writers
Dr Lord's Uncompleted Plan, Supplemented with Essays by Emerson, Macaulay, Hedge, and Mercer Adam	Lord, John	0.3333333333333333
579	10644	Beacon Lights of History, Volume 11: American Founders	Lord, John	0.3333333333333333
580	10641	Beacon Lights of History, Volume 10: European Leaders	Lord, John	0.3333333333333333
581	10640	Beacon Lights of History, Volume 09: European Statesmen	Lord, John	0.3333333333333333
582	10627	Beacon Lights of History, Volume 08: Great Rulers	Lord, John	0.3333333333333333
583	10533	Beacon Lights of History, Volume 07: Great Women	Lord, John	0.3333333333333333
584	10532	Beacon Lights of History, Volume 06: Renaissance and Reformation	Lord, John	0.3333333333333333
585	10531	Beacon Lights of History, Volume 05: The Middle Ages	Lord, John	0.3333333333333333
586	10522	Beacon Lights of History, Volume 04: Imperial Antiquity	Lord, John	0.3333333333333333
587	10484	Beacon Lights of History, Volume 03: Ancient Achievements	Lord, John	0.3333333333333333
588	10478	Beacon Lights of History, Volume 02: Jewish Heroes and Prophets	Lord, John	0.3333333333333333
589	10477	Beacon Lights of History, Volume 01: The Old Pagan Civilizations	Lord, John	0.3333333333333333
590	21717	Battles with the Sea	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
591	16681	Baby Chatterbox	Anonymous	0.3333333333333333
592	21715	Away in the Wilderness	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
593	22234	Aunt Jo's Scrap Bag, Volume 5
Jimmy's Cruise in the Pinafore, Etc.	Alcott, Louisa May	0.3333333333333333
594	22022	Aunt Jo's Scrap Bag, Volume 2
Shawl-Straps	Alcott, Louisa May	0.3333333333333333
595	225	At the Back of the North Wind	MacDonald, George	0.3333333333333333
596	18614	At the Back of the North Wind	MacDonald, George	0.3333333333333333
